#Indiener;Partij Indiener;Medeindiener;Partij Medeindiener;datum motie;URL naar motie
"F.C. Giskes";"D66";"H.J. v.d. Steenhoven";"GL";"2001.11.08";"http://polidocs.nl/XML/MOT/2011151.xml"
"F.C. Giskes";"D66";"P.H. Hofstra";"VVD";"2001.11.08";"http://polidocs.nl/XML/MOT/2011151.xml"
"A. v.d. Hek";"PvdA";"J.C. Kombrink";"PvdA";"1981.02.24";"http://polidocs.nl/XML/MOT/1965239.xml"
"N.G. v.'t Riet";"D66";"D.J. Stellingwerf";"RPF";"1995.03.13";"http://polidocs.nl/XML/MOT/1878164.xml"
"N.G. v.'t Riet";"D66";"L.H.J.M. Dankers";"CDA";"1995.03.13";"http://polidocs.nl/XML/MOT/1878164.xml"
"N.G. v.'t Riet";"D66";"J.T. v.d. Berg";"SGP";"1995.03.13";"http://polidocs.nl/XML/MOT/1878164.xml"
"N.G. v.'t Riet";"D66";"W.J. Verkerk";"AOV";"1995.03.13";"http://polidocs.nl/XML/MOT/1878164.xml"
"N.G. v.'t Riet";"D66";"P. Rosenmöller";"GL";"1995.03.13";"http://polidocs.nl/XML/MOT/1878164.xml"
"P.H. Hofstra";"VVD";"J.J. Atsma";"CDA";"2003.04.17";"http://polidocs.nl/XML/MOT/2029846.xml"
"P.H. Hofstra";"VVD";"M.J.L.M. Hermans";"LPF";"2003.04.17";"http://polidocs.nl/XML/MOT/2029846.xml"
"H. v. Rossum";"SGP";"J.D. Blaauw";"VVD";"1984.05.28";"http://polidocs.nl/XML/MOT/1961148.xml"
"A.G.W.J. Lansink";"CDA";"M. Rabbae";"GL";"1994.12.21";"http://polidocs.nl/XML/MOT/1860328.xml"
"A.G.W.J. Lansink";"CDA";"H.M. Nijpels-Hezemans";"AOV";"1994.12.21";"http://polidocs.nl/XML/MOT/1860328.xml"
"A.G.W.J. Lansink";"CDA";"A. Rouvoet";"RPF";"1994.12.21";"http://polidocs.nl/XML/MOT/1860328.xml"
"A.G.W.J. Lansink";"CDA";"B.J. v.d. Vlies";"SGP";"1994.12.21";"http://polidocs.nl/XML/MOT/1860328.xml"
"A.G.W.J. Lansink";"CDA";"G.J. Schutte";"GPV";"1994.12.21";"http://polidocs.nl/XML/MOT/1860328.xml"
"A.G.W.J. Lansink";"CDA";"R.J.L. Poppe";"SP";"1994.12.21";"http://polidocs.nl/XML/MOT/1860328.xml"
"G. Roethof";"D66";"S.A.M. Dijksma";"PvdA";"1997.12.11";"http://polidocs.nl/XML/MOT/1833188.xml"
"M. v.d. Doel";"VVD";"G. Valk";"PvdA";"1996.11.12";"http://polidocs.nl/XML/MOT/1845095.xml"
"J.G. Wijn";"CDA";"A.D. Bakker";"D66";"2001.03.26";"http://polidocs.nl/XML/MOT/1819849.xml"
"J.G. Wijn";"CDA";"C.C.M. Vendrik";"GL";"2001.03.26";"http://polidocs.nl/XML/MOT/1819849.xml"
"J.G. Wijn";"CDA";"L.C. v. Dijke";"RPF";"2001.03.26";"http://polidocs.nl/XML/MOT/1819849.xml"
"J.G. Wijn";"CDA";"J.T. v.d. Berg";"SGP";"2001.03.26";"http://polidocs.nl/XML/MOT/1819849.xml"
"I. Dezentjé Hamming";"VVD";"J.N. v. Vroonhoven-Kok";"CDA";"2004.11.18";"http://polidocs.nl/XML/MOT/2050930.xml"
"I. Dezentjé Hamming";"VVD";"A.D. Bakker";"D66";"2004.11.18";"http://polidocs.nl/XML/MOT/2050930.xml"
"J.S. Huys";"PvdA";"P.M. Blauw";"VVD";"1995.12.11";"http://polidocs.nl/XML/MOT/1851882.xml"
"J.S. Huys";"PvdA";"P.K. t. Veer";"D66";"1995.12.11";"http://polidocs.nl/XML/MOT/1851882.xml"
"D.V. Hindriks";"PvdA";"W.C.G. Voûte-Droste";"VVD";"2000.11.29";"http://polidocs.nl/XML/MOT/1807751.xml"
"D.V. Hindriks";"PvdA";"J. v. Walsem";"D66";"2000.11.29";"http://polidocs.nl/XML/MOT/1807751.xml"
"M. Leerling";"RPF";"A.H.D. Wagenaar";"RPF";"1984.06.13";"http://polidocs.nl/XML/MOT/1932848.xml"
"E. t. Veld";"PvdA";"M.A. Müller-v. Ast";"PvdA";"1983.06.06";"http://polidocs.nl/XML/MOT/1995996.xml"
"E. t. Veld";"PvdA";"F.W.C. Castricum";"PvdA";"1983.06.06";"http://polidocs.nl/XML/MOT/1995996.xml"
"E. t. Veld";"PvdA";"B. Spieker";"PvdA";"1983.06.06";"http://polidocs.nl/XML/MOT/1995996.xml"
"E. t. Veld";"PvdA";"L.S. Groenman";"D66";"1983.06.06";"http://polidocs.nl/XML/MOT/1995996.xml"
"G.W. Keja";"VVD";"P.J.A. v.d. Sanden";"CDA";"1984.03.14";"http://polidocs.nl/XML/MOT/1940451.xml"
"R. v. Gijzel";"PvdA";"N.G. v.'t Riet";"D66";"1997.06.05";"http://polidocs.nl/XML/MOT/1841602.xml"
"R. v. Gijzel";"PvdA";"J.W. Remkes";"VVD";"1997.06.05";"http://polidocs.nl/XML/MOT/1841602.xml"
"J.M.G. Schreijer-Pierik";"CDA";"J.D. Blaauw";"VVD";"2002.11.05";"http://polidocs.nl/XML/MOT/2022480.xml"
"J.M.G. Schreijer-Pierik";"CDA";"J.M. Geluk";"VVD";"2002.11.05";"http://polidocs.nl/XML/MOT/2022480.xml"
"J.M.G. Schreijer-Pierik";"CDA";"W. v.d. Brink";"LPF";"2002.11.05";"http://polidocs.nl/XML/MOT/2022480.xml"
"J.M.G. Schreijer-Pierik";"CDA";"B.J. v.d. Vlies";"SGP";"2002.11.05";"http://polidocs.nl/XML/MOT/2022480.xml"
"J.M.G. Schreijer-Pierik";"CDA";"F. Teeven";"LN";"2002.11.05";"http://polidocs.nl/XML/MOT/2022480.xml"
"J.M.G. Schreijer-Pierik";"CDA";"W.E. d. Jong";"GrdJ";"2002.11.05";"http://polidocs.nl/XML/MOT/2022480.xml"
"J. Wallage";"PvdA";"M.A. Müller-v. Ast";"PvdA";"1984.06.27";"http://polidocs.nl/XML/MOT/1945718.xml"
"J. Wallage";"PvdA";"G. Mik";"D66";"1984.06.27";"http://polidocs.nl/XML/MOT/1945718.xml"
"S.E.A. Noorman-d. Uyl";"PvdA";"W. v. Gent";"GL";"2003.11.12";"http://polidocs.nl/XML/MOT/2036960.xml"
"Ch. Mertens";"D66";"M.J. Konings";"PvdA";"1980.10.06";"http://polidocs.nl/XML/MOT/1969799.xml"
"E. Irrgang";"SP";"A.P.C. v. Dijck";"PVV";"2007.06.13";"http://polidocs.nl/XML/MOT/6057296.xml"
"E. Irrgang";"SP";"C.C.M. Vendrik";"GL";"2007.06.13";"http://polidocs.nl/XML/MOT/6057296.xml"
"G.J. Schutte";"GPV";"C.N. v. Dis";"SGP";"1984.06.05";"http://polidocs.nl/XML/MOT/1929552.xml"
"G.J. Schutte";"GPV";"M. Leerling";"RPF";"1984.06.05";"http://polidocs.nl/XML/MOT/1929552.xml"
"M. Beinema";"CDA";"A.G.W.J. Lansink";"CDA";"1978.10.23";"http://polidocs.nl/XML/MOT/1987192.xml"
"M. Beinema";"CDA";"W.J. Deetman";"CDA";"1978.10.23";"http://polidocs.nl/XML/MOT/1987192.xml"
"A.J. Evenhuis";"VVD";"G.J.M. Braks";"CDA";"1978.11.13";"http://polidocs.nl/XML/MOT/2006112.xml"
"A.J. Evenhuis";"VVD";"H. v. Rossum";"SGP";"1978.11.13";"http://polidocs.nl/XML/MOT/2006112.xml"
"A.J. Evenhuis";"VVD";"J.F. Scherpenhuizen";"VVD";"1978.11.13";"http://polidocs.nl/XML/MOT/2006112.xml"
"M.J. v. Dijken";"PvdA";"E.H. Tonkens";"GL";"2004.04.15";"http://polidocs.nl/XML/MOT/2042733.xml"
"B. v.d. Ham";"D66";"C.B. Aptroot";"VVD";"2007.11.13";"http://polidocs.nl/XML/MOT/6197210.xml"
"B. d. Vries";"CDA";"B.J.M. Hermsen";"CDA";"1979.12.22";"http://polidocs.nl/XML/MOT/1983216.xml"
"B. d. Vries";"CDA";"S. Faber";"CDA";"1979.12.22";"http://polidocs.nl/XML/MOT/1983216.xml"
"B. d. Vries";"CDA";"M.A.H. Andela-Baur";"CDA";"1979.12.22";"http://polidocs.nl/XML/MOT/1983216.xml"
"B. d. Vries";"CDA";"S.C. Weijers";"CDA";"1979.12.22";"http://polidocs.nl/XML/MOT/1983216.xml"
"B.J. Eerdmans";"LPF";"A.D.S.M. Nijs";"VVD";"2005.12.01";"http://polidocs.nl/XML/MOT/5652892.xml"
"B.J. Eerdmans";"LPF";"R.W. Knops";"CDA";"2005.12.01";"http://polidocs.nl/XML/MOT/5652892.xml"
"A. Rouvoet";"RPF";"C.G. v.d. Staaij";"SGP";"2000.06.08";"http://polidocs.nl/XML/MOT/1818521.xml"
"A. Rouvoet";"RPF";"J.G. Wijn";"CDA";"2000.06.08";"http://polidocs.nl/XML/MOT/1818521.xml"
"A. Rouvoet";"RPF";"B.O. Dittrich";"D66";"2000.06.08";"http://polidocs.nl/XML/MOT/1818521.xml"
"A. Rouvoet";"RPF";"H.G.J. Kamp";"VVD";"2000.06.08";"http://polidocs.nl/XML/MOT/1818521.xml"
"A. Rouvoet";"RPF";"L.P. Middel";"PvdA";"2000.06.08";"http://polidocs.nl/XML/MOT/1818521.xml"
"A. Rouvoet";"RPF";"J.M.A.M. d. Wit";"SP";"2000.06.08";"http://polidocs.nl/XML/MOT/1818521.xml"
"G.C.F.M. Depla";"PvdA";"P. d. Ruiter";"SP";"2003.11.13";"http://polidocs.nl/XML/MOT/2035525.xml"
"G.C.F.M. Depla";"PvdA";"C.G. v.d. Staaij";"SGP";"2003.11.13";"http://polidocs.nl/XML/MOT/2035525.xml"
"G.C.F.M. Depla";"PvdA";"W. v. Gent";"GL";"2003.11.13";"http://polidocs.nl/XML/MOT/2035525.xml"
"G.C.F.M. Depla";"PvdA";"G.P. v. As";"LPF";"2003.11.13";"http://polidocs.nl/XML/MOT/2035525.xml"
"E.L. Herfkens";"PvdA";"R.J. Tazelaar";"PvdA";"1984.11.08";"http://polidocs.nl/XML/MOT/1926302.xml"
"A.M.A. v. Ardenne-v.d. Hoeven";"CDA";"B.J. v.d. Vlies";"SGP";"1996.09.11";"http://polidocs.nl/XML/MOT/1856035.xml"
"A.M.A. v. Ardenne-v.d. Hoeven";"CDA";"M.B. Vos";"GL";"1996.09.11";"http://polidocs.nl/XML/MOT/1856035.xml"
"D.J.D. Dees";"VVD";"C.H. Evenhuis-v. Essen";"CDA";"1978.06.12";"http://polidocs.nl/XML/MOT/1995670.xml"
"D.J.D. Dees";"VVD";"H.H. Jacobse";"VVD";"1978.06.12";"http://polidocs.nl/XML/MOT/1995670.xml"
"D.J.D. Dees";"VVD";"E.H.T.M. Nijpels";"VVD";"1978.06.12";"http://polidocs.nl/XML/MOT/1995670.xml"
"A.M.C. Eijsink";"PvdA";"K. v. Velzen";"SP";"2006.10.16";"http://polidocs.nl/XML/MOT/5864943.xml"
"A.M.C. Eijsink";"PvdA";"M. Herben";"LPF";"2006.10.16";"http://polidocs.nl/XML/MOT/5864943.xml"
"A.M.C. Eijsink";"PvdA";"F. Karimi";"GL";"2006.10.16";"http://polidocs.nl/XML/MOT/5864943.xml"
"A.M.C. Eijsink";"PvdA";"C.G. v.d. Staaij";"SGP";"2006.10.16";"http://polidocs.nl/XML/MOT/5864943.xml"
"R. v. Gijzel";"PvdA";"H. Tegelaar-Boonacker";"CDA";"1990.12.10";"http://polidocs.nl/XML/MOT/1892178.xml"
"B. v.d. Ham";"D66";"B.O. Dittrich";"D66";"2006.05.18";"http://polidocs.nl/XML/MOT/5769373.xml"
"B. v.d. Ham";"D66";"J.W.M.M.J. Hessels";"CDA";"2006.05.18";"http://polidocs.nl/XML/MOT/5769373.xml"
"B. v.d. Ham";"D66";"H.J. Ormel";"CDA";"2006.05.18";"http://polidocs.nl/XML/MOT/5769373.xml"
"B. v.d. Ham";"D66";"J.C. Huizinga-Heringa";"CU";"2006.05.18";"http://polidocs.nl/XML/MOT/5769373.xml"
"M.B. Vos";"GL";"D.J. Stellingwerf";"RPF";"1995.06.07";"http://polidocs.nl/XML/MOT/1859610.xml"
"A.G. v.d. Spek";"PSP";"A.C. v. Es";"PSP";"1982.11.23";"http://polidocs.nl/XML/MOT/1951322.xml"
"A.G. v.d. Spek";"PSP";"W.J. Willems";"PSP";"1982.11.23";"http://polidocs.nl/XML/MOT/1951322.xml"
"J.M.G. Schreijer-Pierik";"CDA";"J.F. Snijder-Hazelhoff";"VVD";"2004.10.04";"http://polidocs.nl/XML/MOT/2048136.xml"
"J.M.G. Schreijer-Pierik";"CDA";"W. v.d. Brink";"LPF";"2004.10.04";"http://polidocs.nl/XML/MOT/2048136.xml"
"J.M.G. Schreijer-Pierik";"CDA";"B.J. v.d. Vlies";"SGP";"2004.10.04";"http://polidocs.nl/XML/MOT/2048136.xml"
"H.M. Nijpels-Hezemans";"GrNij";"P.A.L. Mulder-v. Dam";"CDA";"1997.06.24";"http://polidocs.nl/XML/MOT/1837755.xml"
"H.M. Nijpels-Hezemans";"GrNij";"T. Oedayraj Singh Varma";"GL";"1997.06.24";"http://polidocs.nl/XML/MOT/1837755.xml"
"H.M. Nijpels-Hezemans";"GrNij";"B.J. v.d. Vlies";"SGP";"1997.06.24";"http://polidocs.nl/XML/MOT/1837755.xml"
"H.M. Nijpels-Hezemans";"GrNij";"D.J. Stellingwerf";"RPF";"1997.06.24";"http://polidocs.nl/XML/MOT/1837755.xml"
"H.M. Nijpels-Hezemans";"GrNij";"J.G.C.A. Marijnissen";"SP";"1997.06.24";"http://polidocs.nl/XML/MOT/1837755.xml"
"J.N. v. Vroonhoven-Kok";"CDA";"J.A.W.J. Leerdam";"PvdA";"2007.12.17";"http://polidocs.nl/XML/MOT/6225185.xml"
"J.N. v. Vroonhoven-Kok";"CDA";"E.W. Anker";"CU";"2007.12.17";"http://polidocs.nl/XML/MOT/6225185.xml"
"J.N. v. Vroonhoven-Kok";"CDA";"H. v. Leeuwen";"SP";"2007.12.17";"http://polidocs.nl/XML/MOT/6225185.xml"
"M. Kraneveldt";"LPF";"J.A.W.J. Leerdam";"PvdA";"2005.11.28";"http://polidocs.nl/XML/MOT/5642314.xml"
"K.G. d. Vries";"PvdA";"N. Azough";"GL";"2006.09.26";"http://polidocs.nl/XML/MOT/5845418.xml"
"K.G. d. Vries";"PvdA";"J.M.A.M. d. Wit";"SP";"2006.09.26";"http://polidocs.nl/XML/MOT/5845418.xml"
"L.C. v. Dijke";"RPF";"K. Eisses-Timmerman";"CDA";"1998.12.17";"http://polidocs.nl/XML/MOT/1830379.xml"
"L.C. v. Dijke";"RPF";"A.J. Schimmel";"D66";"1998.12.17";"http://polidocs.nl/XML/MOT/1830379.xml"
"L.C. v. Dijke";"RPF";"A.B. Harrewijn";"GL";"1998.12.17";"http://polidocs.nl/XML/MOT/1830379.xml"
"L.C. v. Dijke";"RPF";"J.M.A.M. d. Wit";"SP";"1998.12.17";"http://polidocs.nl/XML/MOT/1830379.xml"
"G.A.Q. Niessen";"PvdA";"M. Beinema";"CDA";"1988.11.28";"http://polidocs.nl/XML/MOT/1893724.xml"
"G.A.Q. Niessen";"PvdA";"A. Nuis";"D66";"1988.11.28";"http://polidocs.nl/XML/MOT/1893724.xml"
"G.A.Q. Niessen";"PvdA";"P.A. Lankhorst";"PPR";"1988.11.28";"http://polidocs.nl/XML/MOT/1893724.xml"
"G. Ybema";"D66";"J. v.d. Vaart";"PvdA";"1992.12.02";"http://polidocs.nl/XML/MOT/1868622.xml"
"G. Ybema";"D66";"J.F.B. v. Rey";"VVD";"1992.12.02";"http://polidocs.nl/XML/MOT/1868622.xml"
"G. Ybema";"D66";"M. Leerling";"RPF";"1992.12.02";"http://polidocs.nl/XML/MOT/1868622.xml"
"G. Ybema";"D66";"G.J. Schutte";"GPV";"1992.12.02";"http://polidocs.nl/XML/MOT/1868622.xml"
"J.C. v. Baalen";"VVD";"L.W.S.A.L.B. v.d. Laan";"D66";"2005.11.24";"http://polidocs.nl/XML/MOT/5580175.xml"
"M.C.W. Visser-v. Doorn";"CDA";"F. Halsema";"GL";"1998.12.15";"http://polidocs.nl/XML/MOT/1825580.xml"
"M.C.W. Visser-v. Doorn";"CDA";"A. Nicolaï";"VVD";"1998.12.15";"http://polidocs.nl/XML/MOT/1825580.xml"
"M.C.W. Visser-v. Doorn";"CDA";"J.C.E. Belinfante";"PvdA";"1998.12.15";"http://polidocs.nl/XML/MOT/1825580.xml"
"M.C.W. Visser-v. Doorn";"CDA";"B.O. Dittrich";"D66";"1998.12.15";"http://polidocs.nl/XML/MOT/1825580.xml"
"F.J. v.d. Heijden";"CDA";"H.F. Dijkstal";"VVD";"1987.11.04";"http://polidocs.nl/XML/MOT/1904845.xml"
"J.P. Rehwinkel";"PvdA";"H.G.J. Kamp";"VVD";"1995.06.29";"http://polidocs.nl/XML/MOT/1856159.xml"
"J.P. Rehwinkel";"PvdA";"O. Scheltema-d. Nie";"D66";"1995.06.29";"http://polidocs.nl/XML/MOT/1856159.xml"
"L.S. Groenman";"D66";"A.J. Schimmel";"D66";"1991.12.12";"http://polidocs.nl/XML/MOT/1875262.xml"
"A. Apostolou";"PvdA";"L.H.J.M. Dankers";"CDA";"1996.04.02";"http://polidocs.nl/XML/MOT/1852418.xml"
"A. Apostolou";"PvdA";"B.O. Dittrich";"D66";"1996.04.02";"http://polidocs.nl/XML/MOT/1852418.xml"
"A. Apostolou";"PvdA";"T. Oedayraj Singh Varma";"GL";"1996.04.02";"http://polidocs.nl/XML/MOT/1852418.xml"
"A. Apostolou";"PvdA";"R.J.L. Poppe";"SP";"1996.04.02";"http://polidocs.nl/XML/MOT/1852418.xml"
"J.P. v. Iersel";"CDA";"A. v.d. Hek";"PvdA";"1986.12.01";"http://polidocs.nl/XML/MOT/1907280.xml"
"J.P. v. Iersel";"CDA";"W.A. Mateman";"CDA";"1986.12.01";"http://polidocs.nl/XML/MOT/1907280.xml"
"W. Jabaaij";"PvdA";"J.R. Toussaint";"PvdA";"1980.05.12";"http://polidocs.nl/XML/MOT/1972183.xml"
"W. Jabaaij";"PvdA";"E.K. Wessel-Tuinstra";"D66";"1980.05.12";"http://polidocs.nl/XML/MOT/1972183.xml"
"J.M. d. Uyl";"PvdA";"J.C. Terlouw";"D66";"1979.10.11";"http://polidocs.nl/XML/MOT/1979835.xml"
"G.J. Schutte";"GPV";"J.T. v.d. Berg";"SGP";"1990.05.15";"http://polidocs.nl/XML/MOT/1889195.xml"
"G.J. Schutte";"GPV";"M. Leerling";"RPF";"1990.05.15";"http://polidocs.nl/XML/MOT/1889195.xml"
"P.J.L. Verbugt";"VVD";"O. Scheltema-d. Nie";"D66";"1993.11.04";"http://polidocs.nl/XML/MOT/1865682.xml"
"P.J.L. Verbugt";"VVD";"J.T. v.d. Berg";"SGP";"1993.11.04";"http://polidocs.nl/XML/MOT/1865682.xml"
"F. Halsema";"GL";"B.O. Dittrich";"D66";"2004.09.02";"http://polidocs.nl/XML/MOT/2047242.xml"
"H. v.d. Broek";"CDA";"P.H. v. Zeil";"CDA";"1980.08.28";"http://polidocs.nl/XML/MOT/2001619.xml"
"H. v.d. Broek";"CDA";"S.J.M. Dijkman";"CDA";"1980.08.28";"http://polidocs.nl/XML/MOT/2001619.xml"
"M. v.d. Stoel";"PvdA";"S.C. Bischoff v. Heemskerck";"D66";"1980.01.30";"http://polidocs.nl/XML/MOT/1972520.xml"
"M. Bakker";"CPN";"A.G. v.d. Spek";"PSP";"1982.02.25";"http://polidocs.nl/XML/MOT/1955838.xml"
"M. Bakker";"CPN";"M.B.C. Beckers-d. Bruijn";"PPR";"1982.02.25";"http://polidocs.nl/XML/MOT/1955838.xml"
"P.H. Hofstra";"VVD";"J.J. Mastwijk";"CDA";"2003.12.08";"http://polidocs.nl/XML/MOT/2038605.xml"
"P.H. Hofstra";"VVD";"M.J.L.M. Hermans";"LPF";"2003.12.08";"http://polidocs.nl/XML/MOT/2038605.xml"
"H. Rienks";"PvdA";"J.C. Kombrink";"PvdA";"1978.04.19";"http://polidocs.nl/XML/MOT/2004128.xml"
"H. Rienks";"PvdA";"E.H.C. Salomons";"PvdA";"1978.04.19";"http://polidocs.nl/XML/MOT/2004128.xml"
"K. v. Velzen";"SP";"A.J.W. Duyvendak";"GL";"2002.11.25";"http://polidocs.nl/XML/MOT/2024731.xml"
"K. v. Velzen";"SP";"B. v.d. Ham";"D66";"2002.11.25";"http://polidocs.nl/XML/MOT/2024731.xml"
"K. v. Velzen";"SP";"F.J.M. Crone";"PvdA";"2002.11.25";"http://polidocs.nl/XML/MOT/2024731.xml"
"A.G. Koenders";"PvdA";"D.M. Samsom";"PvdA";"2004.11.01";"http://polidocs.nl/XML/MOT/2049438.xml"
"A.G. Koenders";"PvdA";"L.W.S.A.L.B. v.d. Laan";"D66";"2004.11.01";"http://polidocs.nl/XML/MOT/2049438.xml"
"A.G. Koenders";"PvdA";"F. Karimi";"GL";"2004.11.01";"http://polidocs.nl/XML/MOT/2049438.xml"
"A.G. v.d. Spek";"PSP";"A.C. v. Es";"PSP";"1983.10.11";"http://polidocs.nl/XML/MOT/1938899.xml"
"F.C.G.M. Timmermans";"PvdA";"F. Karimi";"GL";"2003.10.02";"http://polidocs.nl/XML/MOT/2033296.xml"
"F.C.G.M. Timmermans";"PvdA";"B.O. Dittrich";"D66";"2003.10.02";"http://polidocs.nl/XML/MOT/2033296.xml"
"S.A. Blok";"VVD";"L.H.J.M. Dankers";"CDA";"2001.02.05";"http://polidocs.nl/XML/MOT/1859003.xml"
"S.A. Blok";"VVD";"S. v. Vliet";"D66";"2001.02.05";"http://polidocs.nl/XML/MOT/1859003.xml"
"S.A. Blok";"VVD";"K. Arib";"PvdA";"2001.02.05";"http://polidocs.nl/XML/MOT/1859003.xml"
"S.A. Blok";"VVD";"B.J. v.d. Vlies";"SGP";"2001.02.05";"http://polidocs.nl/XML/MOT/1859003.xml"
"E.E. Wiegman-v. Meppelen Scheppink";"CU";"A.A.M. Willemse-v.d. Ploeg";"CDA";"2007.04.26";"http://polidocs.nl/XML/MOT/6020769.xml"
"E.E. Wiegman-v. Meppelen Scheppink";"CU";"A.G. Wolbert";"PvdA";"2007.04.26";"http://polidocs.nl/XML/MOT/6020769.xml"
"E.E. Wiegman-v. Meppelen Scheppink";"CU";"B.J. v.d. Vlies";"SGP";"2007.04.26";"http://polidocs.nl/XML/MOT/6020769.xml"
"F.C. Giskes";"D66";"A.Th. Duivesteijn";"PvdA";"1995.04.03";"http://polidocs.nl/XML/MOT/1858716.xml"
"F.C. Giskes";"D66";"P.J.L. Verbugt";"VVD";"1995.04.03";"http://polidocs.nl/XML/MOT/1858716.xml"
"F.C. Giskes";"D66";"D.J. Stellingwerf";"RPF";"1995.04.03";"http://polidocs.nl/XML/MOT/1858716.xml"
"F.C. Giskes";"D66";"A.H. Esselink";"CDA";"1995.04.03";"http://polidocs.nl/XML/MOT/1858716.xml"
"A.M.A. v. Ardenne-v.d. Hoeven";"CDA";"E. v. Middelkoop";"GPV";"1995.05.22";"http://polidocs.nl/XML/MOT/1860314.xml"
"A.M.A. v. Ardenne-v.d. Hoeven";"CDA";"L. Sipkes";"GL";"1995.05.22";"http://polidocs.nl/XML/MOT/1860314.xml"
"A.M.A. v. Ardenne-v.d. Hoeven";"CDA";"J.T. v.d. Berg";"SGP";"1995.05.22";"http://polidocs.nl/XML/MOT/1860314.xml"
"A.M.A. v. Ardenne-v.d. Hoeven";"CDA";"D.J. Stellingwerf";"RPF";"1995.05.22";"http://polidocs.nl/XML/MOT/1860314.xml"
"J.J. Lambers-Hacquebard";"D66";"J.L.A. Jansen";"PPR";"1980.02.25";"http://polidocs.nl/XML/MOT/1990580.xml"
"J.J. Lambers-Hacquebard";"D66";"M. Epema-Brugman";"PvdA";"1980.02.25";"http://polidocs.nl/XML/MOT/1990580.xml"
"B.M. d. Vries";"VVD";"W.J. Bos";"PvdA";"1998.11.25";"http://polidocs.nl/XML/MOT/1824534.xml"
"B.M. d. Vries";"VVD";"F.C. Giskes";"D66";"1998.11.25";"http://polidocs.nl/XML/MOT/1824534.xml"
"B.M. d. Vries";"VVD";"G.J. Schutte";"GPV";"1998.11.25";"http://polidocs.nl/XML/MOT/1824534.xml"
"B.M. d. Vries";"VVD";"B.J. v.d. Vlies";"SGP";"1998.11.25";"http://polidocs.nl/XML/MOT/1824534.xml"
"O. Scheltema-d. Nie";"D66";"G.J.W. v. Oven";"PvdA";"1997.11.04";"http://polidocs.nl/XML/MOT/1834699.xml"
"O. Scheltema-d. Nie";"D66";"P.A.L. Mulder-v. Dam";"CDA";"1997.11.04";"http://polidocs.nl/XML/MOT/1834699.xml"
"O. Scheltema-d. Nie";"D66";"P. Rosenmöller";"GL";"1997.11.04";"http://polidocs.nl/XML/MOT/1834699.xml"
"O. Scheltema-d. Nie";"D66";"E. v. Middelkoop";"GPV";"1997.11.04";"http://polidocs.nl/XML/MOT/1834699.xml"
"N.A. Kalsbeek-Jasperse";"PvdA";"V.A.M. v.d. Burg";"CDA";"1991.06.12";"http://polidocs.nl/XML/MOT/1881578.xml"
"A. Slob";"CU";"S.A.M. Dijksma";"PvdA";"2005.12.12";"http://polidocs.nl/XML/MOT/5644848.xml"
"A. Slob";"CU";"Y.J. v. Hijum";"CDA";"2005.12.12";"http://polidocs.nl/XML/MOT/5644848.xml"
"A. Slob";"CU";"C.G. v.d. Staaij";"SGP";"2005.12.12";"http://polidocs.nl/XML/MOT/5644848.xml"
"J.T. Hoekema";"D66";"E. v. Middelkoop";"GPV";"1999.04.21";"http://polidocs.nl/XML/MOT/1825408.xml"
"J.T. Hoekema";"D66";"A.G. Koenders";"PvdA";"1999.04.21";"http://polidocs.nl/XML/MOT/1825408.xml"
"J.T. Hoekema";"D66";"M.J.M. Verhagen";"CDA";"1999.04.21";"http://polidocs.nl/XML/MOT/1825408.xml"
"H.E. Waalkens";"PvdA";"K. v. Velzen";"SP";"2007.11.01";"http://polidocs.nl/XML/MOT/6182896.xml"
"H.E. Waalkens";"PvdA";"E.A. Cramer";"CU";"2007.11.01";"http://polidocs.nl/XML/MOT/6182896.xml"
"M. Bussemaker";"PvdA";"G. Verburg";"CDA";"2005.11.02";"http://polidocs.nl/XML/MOT/5480233.xml"
"R.M. v. Middelkoop";"PvdA";"A.Th.B. Bijleveld-Schouten";"CDA";"1993.09.09";"http://polidocs.nl/XML/MOT/1868009.xml"
"R.M. v. Middelkoop";"PvdA";"H.A.L. v. Hoof";"VVD";"1993.09.09";"http://polidocs.nl/XML/MOT/1868009.xml"
"R.M. v. Middelkoop";"PvdA";"A.J. Schimmel";"D66";"1993.09.09";"http://polidocs.nl/XML/MOT/1868009.xml"
"R.M. v. Middelkoop";"PvdA";"P. Rosenmöller";"GL";"1993.09.09";"http://polidocs.nl/XML/MOT/1868009.xml"
"H.J. v.d. Steenhoven";"GL";"M.J. Augusteijn-Esser";"D66";"2001.12.20";"http://polidocs.nl/XML/MOT/2013848.xml"
"H.J. v.d. Steenhoven";"GL";"J.J. Feenstra";"PvdA";"2001.12.20";"http://polidocs.nl/XML/MOT/2013848.xml"
"H.J. v.d. Steenhoven";"GL";"J.H. Klein Molekamp";"VVD";"2001.12.20";"http://polidocs.nl/XML/MOT/2013848.xml"
"S. Buijs";"CDA";"B.J. v.d. Vlies";"SGP";"2001.02.15";"http://polidocs.nl/XML/MOT/1885400.xml"
"S. Buijs";"CDA";"D.J. Stellingwerf";"RPF";"2001.02.15";"http://polidocs.nl/XML/MOT/1885400.xml"
"A.P.W. Melkert";"PvdA";"J. Reitsma";"CDA";"1994.04.14";"http://polidocs.nl/XML/MOT/1867023.xml"
