#Indiener;Partij Indiener;Medeindiener;Partij Medeindiener;datum motie;URL naar motie
"A. Rouvoet";"RPF";"J.W. Remkes";"VVD";"1997.05.22";"http://polidocs.nl/XML/MOT/1838550.xml"
"A. Rouvoet";"RPF";"J.P. Rehwinkel";"PvdA";"1997.05.22";"http://polidocs.nl/XML/MOT/1838550.xml"
"A. Rouvoet";"RPF";"J.F. Jeekel";"D66";"1997.05.22";"http://polidocs.nl/XML/MOT/1838550.xml"
"A. Rouvoet";"RPF";"W.A. Mateman";"CDA";"1997.05.22";"http://polidocs.nl/XML/MOT/1838550.xml"
"A. Rouvoet";"RPF";"L. Sipkes";"GL";"1997.05.22";"http://polidocs.nl/XML/MOT/1838550.xml"
"A. Rouvoet";"RPF";"R.J.L. Poppe";"SP";"1997.05.22";"http://polidocs.nl/XML/MOT/1838550.xml"
"F.L.A.J. Wolters";"CDA";"A.Th.B. Bijleveld-Schouten";"CDA";"1997.10.30";"http://polidocs.nl/XML/MOT/1847408.xml"
"F.L.A.J. Wolters";"CDA";"S.E.A. Noorman-d. Uyl";"PvdA";"1997.10.30";"http://polidocs.nl/XML/MOT/1847408.xml"
"J.J. Lambers-Hacquebard";"D66";"J.L.A. Jansen";"PPR";"1979.12.20";"http://polidocs.nl/XML/MOT/1983019.xml"
"J.J. Lambers-Hacquebard";"D66";"B. Spieker";"PvdA";"1979.12.20";"http://polidocs.nl/XML/MOT/1983019.xml"
"J.J. Lambers-Hacquebard";"D66";"B. d. Vries";"CDA";"1979.12.20";"http://polidocs.nl/XML/MOT/1983019.xml"
"F. Portheine";"VVD";"H.C. Couprie";"CDA";"1979.11.28";"http://polidocs.nl/XML/MOT/1974506.xml"
"F. Portheine";"VVD";"C.N. v. Dis";"SGP";"1979.11.28";"http://polidocs.nl/XML/MOT/1974506.xml"
"F. Portheine";"VVD";"Th.H. Joekes";"VVD";"1979.11.28";"http://polidocs.nl/XML/MOT/1974506.xml"
